repo,pr,type,added,churned,events,ratio
dotnet/aspire,10064,AI,81,1,2,0.012345679012345678
dotnet/aspire,9191,Human,56,9,3,0.16071428571428573
dotnet/aspire,9776,AI,1,0,0,0.0
dotnet/aspire,9369,Human,29,29,7,1.0
dotnet/aspire,9815,AI,268,0,0,0.0
dotnet/aspire,9264,Human,53,0,0,0.0
dotnet/aspire,9509,AI,87,23,9,0.26436781609195403
dotnet/aspire,8995,Human,20,20,5,1.0
dotnet/aspire,9872,AI,2,0,1,0.0
dotnet/aspire,10104,Human,1,0,0,0.0
dotnet/aspire,9814,AI,47,3,4,0.06382978723404255
dotnet/aspire,10095,Human,5,0,0,0.0
dotnet/aspire,9458,AI,195,115,10,0.5897435897435898
dotnet/aspire,8985,Human,10,3,1,0.3
dotnet/aspire,9498,AI,121,39,14,0.32231404958677684
dotnet/aspire,9159,Human,68,32,11,0.47058823529411764
dotnet/aspire,9597,AI,647,20,11,0.030911901081916538
dotnet/aspire,9108,Human,66,5,1,0.07575757575757576
dotnet/aspire,9400,AI,120,85,22,0.7083333333333334
dotnet/aspire,8892,Human,488,122,46,0.25
dotnet/aspire,9620,AI,193,7,5,0.03626943005181347
dotnet/aspire,9133,Human,142,0,0,0.0
goat-sdk/goat,238,AI,1910,467,43,0.24450261780104712
goat-sdk/goat,228,AI,333,63,11,0.1891891891891892
goat-sdk/goat,191,Human,3068,3067,38,0.9996740547588006
goat-sdk/goat,218,AI,164,54,4,0.32926829268292684
goat-sdk/goat,250,Human,309,8,3,0.025889967637540454
goat-sdk/goat,237,AI,1515,579,43,0.3821782178217822
goat-sdk/goat,243,Human,401,92,20,0.22942643391521197
goat-sdk/goat,174,AI,224,134,6,0.5982142857142857
goat-sdk/goat,295,Human,828,393,64,0.4746376811594203
goat-sdk/goat,204,AI,260,124,27,0.47692307692307695
goat-sdk/goat,255,Human,206,35,23,0.16990291262135923
goat-sdk/goat,378,AI,59,1,1,0.01694915254237288
goat-sdk/goat,370,Human,3,0,0,0.0
goat-sdk/goat,223,AI,827,33,3,0.03990326481257558
goat-sdk/goat,229,Human,10,10,1,1.0
featureform/enrichmcp,48,AI,2140,157,43,0.07336448598130842
featureform/enrichmcp,49,AI,2140,157,43,0.07336448598130842
featureform/enrichmcp,92,Human,1,0,0,0.0
featureform/enrichmcp,54,AI,2140,157,43,0.07336448598130842
featureform/enrichmcp,90,Human,166,4,1,0.024096385542168676
featureform/enrichmcp,93,AI,246,8,4,0.032520325203252036
featureform/enrichmcp,93,Human,246,8,4,0.032520325203252036
featureform/enrichmcp,147,AI,1,0,0,0.0
featureform/enrichmcp,75,Human,2,0,0,0.0
featureform/enrichmcp,57,AI,2140,157,43,0.07336448598130842
featureform/enrichmcp,47,Human,2140,157,43,0.07336448598130842
onlook-dev/onlook,2088,AI,22,1,3,0.045454545454545456
onlook-dev/onlook,2103,Human,5718,1245,113,0.21773347324239245
onlook-dev/onlook,2341,AI,85,25,13,0.29411764705882354
onlook-dev/onlook,2288,Human,383,326,140,0.8511749347258486
onlook-dev/onlook,2074,AI,217,119,13,0.5483870967741935
onlook-dev/onlook,1839,Human,432,405,172,0.9375
onlook-dev/onlook,2127,AI,17,3,3,0.17647058823529413
onlook-dev/onlook,2282,Human,2,1,0,0.5
onlook-dev/onlook,1481,AI,30,30,2,1.0
onlook-dev/onlook,1232,Human,2,0,1,0.0
onlook-dev/onlook,1373,AI,2,2,1,1.0
onlook-dev/onlook,1284,Human,3,1,1,0.3333333333333333
onlook-dev/onlook,1450,AI,261,251,17,0.9616858237547893
onlook-dev/onlook,1124,Human,192,42,23,0.21875
lingodotdev/lingo.dev,706,AI,47,45,5,0.9574468085106383
lingodotdev/lingo.dev,792,Human,71,8,2,0.11267605633802817
lingodotdev/lingo.dev,755,AI,35,8,2,0.22857142857142856
lingodotdev/lingo.dev,651,Human,8,5,1,0.625
lingodotdev/lingo.dev,717,AI,11,7,2,0.6363636363636364
lingodotdev/lingo.dev,610,Human,11,11,3,1.0
lingodotdev/lingo.dev,931,AI,3,0,0,0.0
lingodotdev/lingo.dev,960,Human,6,5,2,0.8333333333333334
lingodotdev/lingo.dev,759,AI,340,340,28,1.0
lingodotdev/lingo.dev,778,Human,352,20,11,0.056818181818181816
lingodotdev/lingo.dev,686,Human,80,80,109,1.0
crewAIInc/crewAI,2588,AI,7,0,0,0.0
crewAIInc/crewAI,2731,Human,36,4,8,0.1111111111111111
crewAIInc/crewAI,2335,AI,1818,34,11,0.0187018701870187
crewAIInc/crewAI,2155,Human,47,41,2,0.8723404255319149
crewAIInc/crewAI,2192,AI,32,0,4,0.0
crewAIInc/crewAI,2231,Human,128,0,0,0.0
crewAIInc/crewAI,2495,Human,283,119,16,0.4204946996466431
crewAIInc/crewAI,3060,AI,290,61,7,0.2103448275862069
crewAIInc/crewAI,3047,Human,2738,2681,2055,0.9791818845872899
oven-sh/bun,20698,AI,4,1,1,0.25
oven-sh/bun,20309,Human,2,1,0,0.5
oven-sh/bun,19966,AI,73,0,0,0.0
oven-sh/bun,19467,Human,2,1,12,0.5
oven-sh/bun,19353,Human,184,184,61,1.0
oven-sh/bun,19975,AI,92,0,1,0.0
oven-sh/bun,19623,Human,2,0,1,0.0
oven-sh/bun,19896,Human,46,1,0,0.021739130434782608
oven-sh/bun,20265,AI,1115,89,42,0.07982062780269059
oven-sh/bun,19642,Human,92,8,3,0.08695652173913043
oven-sh/bun,20291,AI,75,12,3,0.16
oven-sh/bun,20102,Human,26,0,0,0.0
oven-sh/bun,20295,AI,3,0,0,0.0
oven-sh/bun,20652,Human,121,5,2,0.04132231404958678
mlflow/mlflow,16449,AI,6,6,3,1.0
mlflow/mlflow,16458,Human,6,0,0,0.0
mlflow/mlflow,16340,Human,82,1,1,0.012195121951219513
mlflow/mlflow,16442,AI,153,48,16,0.3137254901960784
mlflow/mlflow,16125,Human,52,10,9,0.19230769230769232
mlflow/mlflow,16658,AI,620,7,7,0.01129032258064516
mlflow/mlflow,16271,Human,7,0,0,0.0
mlflow/mlflow,15993,AI,2,0,0,0.0
mlflow/mlflow,15809,Human,17,4,2,0.23529411764705882
mlflow/mlflow,16080,AI,6,0,0,0.0
mlflow/mlflow,16059,Human,364,6,7,0.016483516483516484
mlflow/mlflow,16191,AI,4,4,1,1.0
mlflow/mlflow,15746,Human,17,0,1,0.0
mlflow/mlflow,15839,AI,141,1,3,0.0070921985815602835
mlflow/mlflow,15834,Human,122,105,51,0.860655737704918
mlflow/mlflow,15856,AI,5,5,1,1.0
mlflow/mlflow,15985,Human,11,11,7,1.0
mlflow/mlflow,16533,AI,10,0,0,0.0
mlflow/mlflow,16103,Human,135,12,9,0.08888888888888889
mlflow/mlflow,15865,AI,30,0,0,0.0
mlflow/mlflow,15902,Human,347,23,13,0.06628242074927954
mlflow/mlflow,16001,Human,11,0,1,0.0
mlflow/mlflow,15987,AI,141,0,0,0.0
mlflow/mlflow,15733,Human,6,0,0,0.0
mlflow/mlflow,16367,AI,4,0,1,0.0
mlflow/mlflow,15859,Human,77,0,1,0.0
mlflow/mlflow,15926,AI,4,0,0,0.0
mlflow/mlflow,15786,Human,39,0,0,0.0
mlflow/mlflow,15996,AI,30,3,2,0.1
mlflow/mlflow,16221,AI,6,1,0,0.16666666666666666
mlflow/mlflow,15743,Human,3,2,1,0.6666666666666666
mlflow/mlflow,16265,AI,1,1,0,1.0
mlflow/mlflow,15810,Human,2,0,0,0.0
microsoft/vscode,250771,AI,25,2,0,0.08
microsoft/vscode,248852,Human,37,9,4,0.24324324324324326
microsoft/vscode,255415,AI,8,8,1,1.0
microsoft/vscode,251374,Human,4,0,0,0.0
microsoft/vscode,251027,AI,1,0,0,0.0
microsoft/vscode,250739,Human,23,23,6,1.0
microsoft/vscode,250730,AI,19,0,0,0.0
microsoft/vscode,249363,Human,4,4,2,1.0
microsoft/vscode,250784,AI,58,0,0,0.0
microsoft/vscode,252405,AI,52,2,1,0.038461538461538464
microsoft/vscode,250559,Human,1,0,0,0.0
microsoft/vscode,254676,AI,3,0,0,0.0
microsoft/vscode,251755,Human,104,0,6,0.0
microsoft/vscode,252128,Human,11,1,1,0.09090909090909091
microsoft/vscode,251154,AI,1,0,0,0.0
microsoft/vscode,250057,Human,1,0,0,0.0
microsoft/vscode,251442,AI,11,0,0,0.0
microsoft/vscode,251075,Human,8,8,0,1.0
microsoft/vscode,250672,AI,154,82,1,0.5324675324675324
microsoft/vscode,248525,Human,1,1,1,1.0
microsoft/vscode,250131,AI,16,0,0,0.0
microsoft/vscode,248239,Human,2,0,1,0.0
microsoft/vscode,250083,AI,48,0,0,0.0
microsoft/vscode,248158,Human,2,2,0,1.0
yamadashy/repomix,560,AI,21,2,1,0.09523809523809523
yamadashy/repomix,612,Human,10894,1316,17,0.12080044060950983
yamadashy/repomix,602,AI,2084,340,51,0.16314779270633398
yamadashy/repomix,527,Human,95,16,2,0.16842105263157894
yamadashy/repomix,568,AI,154,19,20,0.12337662337662338
yamadashy/repomix,534,Human,265,28,29,0.10566037735849057
yamadashy/repomix,566,AI,8,0,2,0.0
yamadashy/repomix,507,Human,6,6,3,1.0
different-ai/note-companion,332,AI,27,0,1,0.0
different-ai/note-companion,357,Human,1089,202,207,0.1854912764003673
different-ai/note-companion,323,AI,17,0,0,0.0
different-ai/note-companion,367,Human,126,9,10,0.07142857142857142
different-ai/note-companion,338,AI,32,0,0,0.0
different-ai/note-companion,362,Human,2310,274,72,0.11861471861471862
different-ai/note-companion,299,AI,458,146,4,0.31877729257641924
different-ai/note-companion,314,Human,151,62,25,0.4105960264900662
remotion-dev/remotion,5463,AI,14,0,0,0.0
remotion-dev/remotion,5349,Human,402,0,1,0.0
remotion-dev/remotion,5371,AI,1106,2,5,0.0018083182640144665
remotion-dev/remotion,5438,Human,57,0,0,0.0
remotion-dev/remotion,5400,AI,92,0,0,0.0
remotion-dev/remotion,5420,Human,1007,795,62,0.7894736842105263
remotion-dev/remotion,5451,AI,64,22,2,0.34375
remotion-dev/remotion,5337,Human,420,37,12,0.0880952380952381
remotion-dev/remotion,5417,AI,258,1,1,0.003875968992248062
remotion-dev/remotion,5301,Human,136,8,1,0.058823529411764705
remotion-dev/remotion,5443,AI,85,1,1,0.011764705882352941
remotion-dev/remotion,5338,Human,276,0,0,0.0
liam-hq/liam,2224,AI,41,41,20,1.0
liam-hq/liam,2258,Human,177,177,7,1.0
liam-hq/liam,2454,AI,48,31,4,0.6458333333333334
liam-hq/liam,2084,Human,420,420,6,1.0
liam-hq/liam,2156,AI,411,385,12,0.9367396593673966
liam-hq/liam,2231,Human,344,330,64,0.9593023255813954
liam-hq/liam,1010,AI,1,1,1,1.0
liam-hq/liam,1150,Human,156,156,243,1.0
liam-hq/liam,2069,AI,131,131,9,1.0
liam-hq/liam,2148,Human,262,262,18,1.0
liam-hq/liam,954,AI,243,167,85,0.6872427983539094
liam-hq/liam,993,Human,681,681,26,1.0
liam-hq/liam,1875,AI,2,1,1,0.5
liam-hq/liam,1677,Human,789,788,25,0.9987325728770595
liam-hq/liam,1945,AI,87,40,5,0.45977011494252873
liam-hq/liam,2156,Human,411,385,12,0.9367396593673966
liam-hq/liam,1916,AI,11,0,0,0.0
liam-hq/liam,2189,Human,3,0,1,0.0
liam-hq/liam,1517,AI,159,159,17,1.0
liam-hq/liam,1255,Human,432,108,43,0.25
liam-hq/liam,1570,AI,76,76,14,1.0
liam-hq/liam,1371,Human,507,507,28,1.0
liam-hq/liam,2566,AI,3,3,1,1.0
liam-hq/liam,2050,Human,50,50,7,1.0
liam-hq/liam,2113,Human,5,1,1,0.2
liam-hq/liam,2264,AI,18,8,12,0.4444444444444444
liam-hq/liam,2191,Human,31,31,13,1.0
liam-hq/liam,1652,AI,9,4,3,0.4444444444444444
liam-hq/liam,1422,Human,75,75,99,1.0
liam-hq/liam,1338,AI,11,11,11,1.0
liam-hq/liam,1039,Human,39,4,15,0.10256410256410256
liam-hq/liam,1541,AI,61,57,56,0.9344262295081968
liam-hq/liam,1109,Human,75,74,78,0.9866666666666667
liam-hq/liam,1957,AI,6,0,2,0.0
liam-hq/liam,1696,Human,13,13,29,1.0
liam-hq/liam,1599,AI,10,10,9,1.0
liam-hq/liam,1367,Human,280,276,32,0.9857142857142858
liam-hq/liam,1854,AI,9,9,1,1.0
liam-hq/liam,1747,Human,1133,1089,76,0.9611650485436893
elizaOS/eliza,5490,AI,317,56,20,0.17665615141955837
elizaOS/eliza,5091,Human,1,0,0,0.0
elizaOS/eliza,5565,AI,3967,2567,217,0.6470884799596672
elizaOS/eliza,5167,Human,851,109,18,0.12808460634547592
elizaOS/eliza,4935,AI,218,218,40,1.0
elizaOS/eliza,4962,Human,46,45,53,0.9782608695652174
elizaOS/eliza,5489,AI,1000,999,75,0.999
elizaOS/eliza,5186,Human,2297,197,51,0.08576404005224206
elizaOS/eliza,4689,AI,290,265,323,0.9137931034482759
elizaOS/eliza,5529,AI,238,218,17,0.9159663865546218
elizaOS/eliza,5297,Human,642,361,177,0.5623052959501558
elizaOS/eliza,2848,AI,648,648,668,1.0
elizaOS/eliza,3345,Human,530,530,1,1.0
microsoft/typescript-go,1142,AI,6,0,0,0.0
microsoft/typescript-go,1204,Human,2,1,0,0.5
microsoft/typescript-go,1339,AI,127,97,2,0.7637795275590551
microsoft/typescript-go,1260,Human,2,0,1,0.0
microsoft/typescript-go,1141,AI,1515,1176,90,0.7762376237623763
microsoft/typescript-go,1290,Human,33968,29023,1230,0.854421808761187
microsoft/typescript-go,1401,AI,72,1,0,0.013888888888888888
microsoft/typescript-go,1276,Human,18,18,7,1.0
novuhq/novu,8538,AI,125,1,3,0.008
novuhq/novu,8569,Human,4,0,0,0.0
novuhq/novu,8701,AI,770,106,42,0.13766233766233765
novuhq/novu,8582,Human,24,5,7,0.20833333333333334
novuhq/novu,8548,AI,198,10,7,0.050505050505050504
novuhq/novu,8478,Human,18200,18195,4802,0.9997252747252747
novuhq/novu,8443,AI,246,35,33,0.14227642276422764
novuhq/novu,8273,Human,203,7,15,0.034482758620689655
novuhq/novu,8335,AI,133,10,2,0.07518796992481203
novuhq/novu,8327,Human,30,30,1,1.0
