repo,pr,author_type,dominant_language,task_type,agent
microsoft/vscode,251755,Human,TypeScript,fix,
mlflow/mlflow,16533,AI,JavaScript,fix,Copilot
mlflow/mlflow,16103,Human,Python,fix,
microsoft/vscode,256267,AI,TypeScript,feat,Copilot
microsoft/vscode,252128,Human,TypeScript,feat,
dotnet/runtime,116817,AI,C#,fix,Copilot
dotnet/runtime,116171,Human,C++,fix,
dotnet/aspire,9776,AI,C#,fix,Copilot
dotnet/aspire,9369,Human,C#,fix,
dotnet/aspire,9815,AI,C#,fix,Copilot
dotnet/aspire,9264,Human,C#,fix,
remotion-dev/remotion,5451,AI,TypeScript,feat,Copilot
remotion-dev/remotion,5337,Human,Other,feat,
microsoft/vscode,251154,AI,Other,fix,Copilot
microsoft/vscode,250057,Human,TypeScript,fix,
microsoft/vscode,251442,AI,TypeScript,fix,Copilot
microsoft/vscode,251075,Human,TypeScript,fix,
microsoft/TypeScript,61927,AI,TypeScript,fix,Copilot
microsoft/TypeScript,61928,Human,JavaScript,fix,
openops-cloud/openops,666,AI,Other,feat,Copilot
openops-cloud/openops,510,Human,TypeScript,feat,
microsoft/typespec,7927,AI,Java,fix,Copilot
microsoft/typespec,7669,Human,Java,fix,
dotnet/aspire,9509,AI,C#,fix,Copilot
dotnet/aspire,8995,Human,C#,fix,
nkdAgility/azure-devops-migration-tools,2748,AI,C#,fix,Copilot
nkdAgility/azure-devops-migration-tools,2860,Human,Other,fix,
microsoft/typescript-go,1339,AI,Go,fix,Copilot
microsoft/typescript-go,1260,Human,Go,fix,
remotion-dev/remotion,5417,AI,TypeScript,feat,Copilot
remotion-dev/remotion,5301,Human,JavaScript,feat,
dotnet/aspire,9872,AI,C#,fix,Copilot
dotnet/aspire,10104,Human,C#,fix,
microsoft/perfview,2212,AI,C#,fix,Copilot
microsoft/perfview,2233,Human,C#,fix,
dotnet/aspire,9814,AI,C#,fix,Copilot
dotnet/aspire,10095,Human,Python,fix,
remotion-dev/remotion,5443,AI,TypeScript,feat,Copilot
remotion-dev/remotion,5338,Human,TypeScript,feat,
Azure/azure-rest-api-specs,34999,AI,Other,feat,Copilot
Azure/azure-rest-api-specs,35017,Human,Other,feat,
mlflow/mlflow,15865,AI,JavaScript,feat,Copilot
mlflow/mlflow,15902,Human,Python,feat,
xtermjs/xterm.js,5346,AI,TypeScript,fix,Copilot
xtermjs/xterm.js,5358,Human,TypeScript,fix,
MikePopoloski/slang,1372,AI,C++,fix,Copilot
MikePopoloski/slang,1348,Human,C++,fix,
microsoft/vscode,250672,AI,TypeScript,feat,Copilot
microsoft/vscode,248525,Human,TypeScript,feat,
microsoft/vs-threading,1467,AI,C#,fix,Copilot
microsoft/vs-threading,1472,Human,Other,fix,
nkdAgility/azure-devops-migration-tools,2749,AI,C#,fix,Copilot
nkdAgility/azure-devops-migration-tools,2854,Human,C#,fix,
celestiaorg/celestia-core,2147,AI,Other,fix,Copilot
celestiaorg/celestia-core,1997,Human,Other,fix,
Azure/azure-sdk-for-js,34981,AI,TypeScript,feat,Copilot
Azure/azure-sdk-for-js,34768,Human,TypeScript,feat,
elsa-workflows/elsa-core,6687,AI,C#,fix,Copilot
elsa-workflows/elsa-core,6736,Human,C#,fix,
dotnet/aspire,9458,AI,C#,fix,Copilot
dotnet/aspire,8985,Human,C#,fix,
dotnet/macios,23043,AI,C#,feat,Copilot
dotnet/macios,22811,Human,C#,feat,
dotnet/runtime,117374,AI,Mixed,feat,Copilot
dotnet/runtime,116750,Human,C#,feat,
celestiaorg/celestia-core,2062,AI,Go,fix,Copilot
celestiaorg/celestia-core,2054,Human,Go,fix,
Azure/azure-sdk-for-net,50539,AI,Other,fix,Copilot
Azure/azure-sdk-for-net,50035,Human,C#,fix,
Azure/azure-sdk-for-python,41310,AI,Python,fix,Copilot
Azure/azure-sdk-for-python,41223,Human,Other,fix,
dotnet/maui,30113,AI,Other,fix,Copilot
dotnet/maui,29694,Human,Other,fix,
dotnet/aspire,9498,AI,C#,fix,Copilot
dotnet/aspire,9159,Human,C#,fix,
mlflow/mlflow,15852,AI,Unknown,fix,Copilot
mlflow/mlflow,16001,Human,Python,fix,
microsoft/vscode,250131,AI,TypeScript,fix,Copilot
microsoft/vscode,248239,Human,TypeScript,fix,
dotnet/aspire,9597,AI,C#,feat,Copilot
dotnet/aspire,9108,Human,C#,feat,
dotnet/aspire,9400,AI,C#,feat,Copilot
dotnet/aspire,8892,Human,C#,feat,
microsoft/typescript-go,1141,AI,JavaScript,feat,Copilot
microsoft/typescript-go,1290,Human,JavaScript,feat,
CapSoftware/Cap,717,AI,TypeScript,fix,Copilot
CapSoftware/Cap,684,Human,TypeScript,fix,
Azure/azure-sdk-for-python,41852,AI,Python,fix,Copilot
Azure/azure-sdk-for-python,41403,Human,Python,fix,
mlflow/mlflow,15987,AI,Other,fix,Copilot
mlflow/mlflow,15733,Human,Python,fix,
objectionary/eo,4280,AI,Java,fix,Copilot
objectionary/eo,4325,Human,Unknown,fix,
mlflow/mlflow,16367,AI,Python,fix,Copilot
mlflow/mlflow,15859,Human,Python,fix,
microsoft/typespec,7760,AI,Python,feat,Copilot
microsoft/typespec,7766,Human,C#,feat,
mlflow/mlflow,15926,AI,Other,fix,Copilot
mlflow/mlflow,15786,Human,Python,fix,
mlflow/mlflow,15996,AI,Other,fix,Copilot
mlflow/mlflow,15807,Human,Python,fix,
unibeck/solstatus,65,AI,Other,feat,Copilot
unibeck/solstatus,41,Human,TypeScript,feat,
dotnet/aspire,9620,AI,C#,feat,Copilot
dotnet/aspire,9133,Human,C#,feat,
nkdAgility/azure-devops-migration-tools,2754,AI,C#,feat,Copilot
nkdAgility/azure-devops-migration-tools,2743,Human,C#,feat,
microsoft/typespec,7481,AI,Other,fix,Copilot
microsoft/typespec,7222,Human,TypeScript,fix,
Azure/azure-rest-api-specs,35251,AI,TypeScript,feat,Copilot
Azure/azure-rest-api-specs,35210,Human,Other,feat,
mlflow/mlflow,16221,AI,Python,fix,Copilot
mlflow/mlflow,15743,Human,Other,fix,
DaveSkender/Stock.Indicators,1355,AI,Other,fix,Copilot
DaveSkender/Stock.Indicators,1357,Human,Other,fix,
dotnet/maui,30503,AI,Other,fix,Copilot
dotnet/maui,30107,Human,C#,fix,
mlflow/mlflow,16265,AI,JavaScript,fix,Copilot
mlflow/mlflow,15810,Human,Python,fix,
Azure/azure-sdk-for-python,41492,AI,Python,fix,Copilot
Azure/azure-sdk-for-python,41102,Human,Python,fix,
microsoft/typescript-go,1401,AI,Go,fix,Copilot
microsoft/typescript-go,1276,Human,Go,fix,
Azure/azure-rest-api-specs,34868,AI,Other,feat,Copilot
Azure/azure-rest-api-specs,34769,Human,Other,feat,
huggingface/huggingface.js,1489,AI,Other,feat,Copilot
huggingface/huggingface.js,1396,Human,TypeScript,feat,
microsoft/Microsoft365DSC,6240,AI,Other,feat,Copilot
microsoft/Microsoft365DSC,6150,Human,Other,feat,
microsoft/vscode,250083,AI,Other,fix,Copilot
microsoft/vscode,248158,Human,TypeScript,fix,
stanfordnlp/dspy,8248,AI,Python,fix,OpenAI_Codex
stanfordnlp/dspy,8337,Human,Python,fix,
CapSoftware/Cap,567,AI,TypeScript,feat,OpenAI_Codex
CapSoftware/Cap,520,Human,TypeScript,feat,
OpenHFT/Chronicle-Wire,1196,AI,Java,fix,OpenAI_Codex
OpenHFT/Chronicle-Wire,1203,Human,Java,fix,
metacraft-labs/codetracer,205,AI,Rust,feat,OpenAI_Codex
metacraft-labs/codetracer,223,Human,Other,feat,
Kanaries/graphic-walker,466,AI,TypeScript,feat,OpenAI_Codex
Kanaries/graphic-walker,461,Human,TypeScript,feat,
mtrojnar/osslsigncode,448,AI,C,fix,OpenAI_Codex
mtrojnar/osslsigncode,435,Human,C,fix,
selfxyz/self,702,AI,TypeScript,fix,OpenAI_Codex
selfxyz/self,690,Human,Other,fix,
featureform/enrichmcp,48,AI,Python,fix,OpenAI_Codex
featureform/enrichmcp,98,Human,Other,fix,
rsyslog/rsyslog,5674,AI,C,fix,OpenAI_Codex
rsyslog/rsyslog,5720,Human,C,fix,
prebid/Prebid.js,13601,AI,JavaScript,fix,OpenAI_Codex
prebid/Prebid.js,13391,Human,JavaScript,fix,
featureform/enrichmcp,49,AI,Python,fix,OpenAI_Codex
featureform/enrichmcp,92,Human,Python,fix,
elixir-lsp/vscode-elixir-ls,481,AI,TypeScript,fix,OpenAI_Codex
elixir-lsp/vscode-elixir-ls,476,Human,Other,fix,
joshuafuller/ATAK-Maps,46,AI,Other,feat,OpenAI_Codex
joshuafuller/ATAK-Maps,57,Human,Other,feat,
bionic-gpt/bionic-gpt,954,AI,TypeScript,fix,OpenAI_Codex
bionic-gpt/bionic-gpt,893,Human,Rust,fix,
obi1kenobi/cargo-semver-checks,1306,AI,Rust,feat,OpenAI_Codex
obi1kenobi/cargo-semver-checks,1336,Human,Other,feat,
onlook-dev/onlook,2088,AI,TypeScript,fix,OpenAI_Codex
onlook-dev/onlook,2103,Human,TypeScript,fix,
gluesql/gluesql,1654,AI,Rust,fix,OpenAI_Codex
gluesql/gluesql,1645,Human,Other,fix,
dust-tt/dust,12866,AI,TypeScript,feat,OpenAI_Codex
dust-tt/dust,12562,Human,TypeScript,feat,
metacraft-labs/codetracer,224,AI,Rust,feat,OpenAI_Codex
metacraft-labs/codetracer,186,Human,Rust,feat,
bionic-gpt/bionic-gpt,800,AI,Rust,fix,OpenAI_Codex
bionic-gpt/bionic-gpt,764,Human,Rust,fix,
temporalio/sdk-go,1959,AI,Go,fix,OpenAI_Codex
temporalio/sdk-go,1974,Human,Go,fix,
go-vikunja/vikunja,1005,AI,TypeScript,fix,OpenAI_Codex
go-vikunja/vikunja,987,Human,Other,fix,
Skyvern-AI/skyvern,2529,AI,TypeScript,feat,OpenAI_Codex
Skyvern-AI/skyvern,2750,Human,Python,feat,
metacraft-labs/codetracer,190,AI,Rust,feat,OpenAI_Codex
metacraft-labs/codetracer,182,Human,Rust,feat,
syntasso/kratix,499,AI,Go,fix,OpenAI_Codex
syntasso/kratix,529,Human,Go,fix,
roboflow/inference,1319,AI,JavaScript,fix,OpenAI_Codex
roboflow/inference,1331,Human,Python,fix,
zenml-io/zenml,3677,AI,Python,fix,OpenAI_Codex
zenml-io/zenml,3641,Human,Python,fix,
janbjorge/pgqueuer,398,AI,Python,fix,OpenAI_Codex
janbjorge/pgqueuer,401,Human,Other,fix,
bionic-gpt/bionic-gpt,891,AI,Rust,feat,OpenAI_Codex
bionic-gpt/bionic-gpt,895,Human,Rust,feat,
openai/codex,998,AI,TypeScript,feat,OpenAI_Codex
openai/codex,769,Human,Rust,feat,
leoafarias/fvm,849,AI,Other,fix,OpenAI_Codex
leoafarias/fvm,879,Human,Other,fix,
onlook-dev/onlook,2341,AI,TypeScript,feat,OpenAI_Codex
onlook-dev/onlook,2288,Human,TypeScript,feat,
OpenHFT/Java-Thread-Affinity,157,AI,Java,fix,OpenAI_Codex
OpenHFT/Java-Thread-Affinity,181,Human,Java,fix,
onlook-dev/onlook,2074,AI,TypeScript,feat,OpenAI_Codex
onlook-dev/onlook,1839,Human,TypeScript,feat,
gridaco/grida,342,AI,Unknown,feat,OpenAI_Codex
gridaco/grida,383,Human,Unknown,feat,
peass-ng/PEASS-ng,476,AI,Python,fix,OpenAI_Codex
peass-ng/PEASS-ng,482,Human,Python,fix,
featureform/enrichmcp,54,AI,Python,feat,OpenAI_Codex
featureform/enrichmcp,90,Human,Python,feat,
wizarrrr/wizarr,578,AI,Python,feat,OpenAI_Codex
wizarrrr/wizarr,614,Human,Other,feat,
writer/writer-framework,888,AI,Python,fix,OpenAI_Codex
writer/writer-framework,857,Human,Python,fix,
featureform/enrichmcp,93,AI,Python,feat,OpenAI_Codex
featureform/enrichmcp,93,Human,Unknown,feat,
EricLBuehler/mistral.rs,1453,AI,Rust,feat,OpenAI_Codex
EricLBuehler/mistral.rs,1416,Human,Rust,feat,
bionic-gpt/bionic-gpt,829,AI,Rust,feat,OpenAI_Codex
bionic-gpt/bionic-gpt,890,Human,Rust,feat,
bionic-gpt/bionic-gpt,903,AI,Rust,feat,OpenAI_Codex
bionic-gpt/bionic-gpt,774,Human,Rust,feat,
metacraft-labs/codetracer,235,AI,Rust,feat,OpenAI_Codex
metacraft-labs/codetracer,211,Human,Rust,feat,
AgentOps-AI/agentops,1065,AI,Other,fix,OpenAI_Codex
AgentOps-AI/agentops,981,Human,Python,fix,
featureform/enrichmcp,147,AI,Other,feat,OpenAI_Codex
featureform/enrichmcp,75,Human,Python,feat,
PriorLabs/TabPFN,343,AI,Python,fix,OpenAI_Codex
PriorLabs/TabPFN,347,Human,Python,fix,
PriorLabs/TabPFN,345,AI,Python,fix,OpenAI_Codex
PriorLabs/TabPFN,332,Human,Other,fix,
oven-sh/bun,19966,AI,JavaScript,fix,OpenAI_Codex
oven-sh/bun,19467,Human,TypeScript,fix,
seasonedcc/remix-forms,359,AI,TypeScript,fix,OpenAI_Codex
seasonedcc/remix-forms,360,Human,TypeScript,fix,
bruin-data/bruin,865,AI,Other,feat,OpenAI_Codex
bruin-data/bruin,764,Human,Go,feat,
go-vikunja/vikunja,908,AI,Go,feat,OpenAI_Codex
go-vikunja/vikunja,774,Human,Other,feat,
gridaco/grida,359,AI,TypeScript,feat,OpenAI_Codex
gridaco/grida,349,Human,TypeScript,feat,
rainbow-me/rainbowkit,2457,AI,TypeScript,feat,OpenAI_Codex
rainbow-me/rainbowkit,2400,Human,Other,feat,
rainbow-me/rainbowkit,2452,AI,Other,fix,OpenAI_Codex
rainbow-me/rainbowkit,2443,Human,TypeScript,fix,
thirdweb-dev/js,7182,AI,TypeScript,feat,OpenAI_Codex
thirdweb-dev/js,7459,Human,TypeScript,feat,
featureform/enrichmcp,57,AI,Other,feat,OpenAI_Codex
featureform/enrichmcp,47,Human,Other,feat,
lollipopkit/flutter_server_box,775,AI,Dart,feat,OpenAI_Codex
lollipopkit/flutter_server_box,747,Human,Dart,feat,
kubetail-org/kubetail,381,AI,Go,feat,OpenAI_Codex
kubetail-org/kubetail,267,Human,Other,feat,
bionic-gpt/bionic-gpt,952,AI,Rust,fix,OpenAI_Codex
bionic-gpt/bionic-gpt,887,Human,Rust,fix,
metacraft-labs/codetracer,196,AI,Rust,feat,OpenAI_Codex
metacraft-labs/codetracer,179,Human,Other,feat,
Significant-Gravitas/AutoGPT,10009,AI,Unknown,fix,OpenAI_Codex
Significant-Gravitas/AutoGPT,9921,Human,TypeScript,fix,
Veloera/Veloera,96,AI,Go,fix,OpenAI_Codex
Veloera/Veloera,73,Human,Go,fix,
tinygrad/tinygrad,10377,AI,Other,fix,OpenAI_Codex
tinygrad/tinygrad,10074,Human,Python,fix,
gridaco/grida,385,AI,Rust,feat,OpenAI_Codex
gridaco/grida,334,Human,TypeScript,feat,
bionic-gpt/bionic-gpt,906,AI,Rust,fix,OpenAI_Codex
bionic-gpt/bionic-gpt,807,Human,Rust,fix,
bionic-gpt/bionic-gpt,870,AI,Rust,fix,OpenAI_Codex
bionic-gpt/bionic-gpt,804,Human,Rust,fix,
leonardsellem/n8n-mcp-server,30,AI,TypeScript,fix,OpenAI_Codex
leonardsellem/n8n-mcp-server,24,Human,JavaScript,fix,
openai/openai-agents-python,872,AI,Python,fix,OpenAI_Codex
openai/openai-agents-python,950,Human,Other,fix,
amantus-ai/vibetunnel,322,AI,TypeScript,feat,OpenAI_Codex
amantus-ai/vibetunnel,18,Human,Go,feat,
unsend-dev/unsend,164,AI,TypeScript,feat,OpenAI_Codex
unsend-dev/unsend,157,Human,TypeScript,feat,
thirdweb-dev/js,7090,AI,TypeScript,feat,OpenAI_Codex
thirdweb-dev/js,6859,Human,TypeScript,feat,
rainbow-me/rainbowkit,2438,AI,TypeScript,feat,OpenAI_Codex
rainbow-me/rainbowkit,2428,Human,Other,feat,
elizaOS/eliza,4689,AI,TypeScript,feat,OpenAI_Codex
elizaOS/eliza,4575,Human,TypeScript,feat,
analogdotnow/Analog,121,AI,TypeScript,feat,OpenAI_Codex
analogdotnow/Analog,147,Human,TypeScript,feat,
bionic-gpt/bionic-gpt,844,AI,Rust,fix,OpenAI_Codex
bionic-gpt/bionic-gpt,770,Human,Rust,fix,
skypilot-org/skypilot,5787,AI,Python,fix,OpenAI_Codex
skypilot-org/skypilot,5715,Human,Python,fix,
badtuxx/girus-cli,102,AI,Other,feat,OpenAI_Codex
badtuxx/girus-cli,69,Human,Go,feat,
golang-design/clipboard,78,AI,Go,fix,OpenAI_Codex
golang-design/clipboard,82,Human,Other,fix,
Felix3322/PotPlayer_ChatGPT_Translate,48,AI,Other,fix,OpenAI_Codex
Felix3322/PotPlayer_ChatGPT_Translate,43,Human,Other,fix,
onlook-dev/onlook,2127,AI,TypeScript,fix,OpenAI_Codex
onlook-dev/onlook,2282,Human,TypeScript,fix,
SimonHalvdansson/Harmonic-HN,212,AI,Java,feat,OpenAI_Codex
SimonHalvdansson/Harmonic-HN,211,Human,Java,feat,
prebid/Prebid.js,13262,AI,JavaScript,fix,OpenAI_Codex
prebid/Prebid.js,13095,Human,JavaScript,fix,
seasonedcc/remix-forms,310,AI,TypeScript,fix,OpenAI_Codex
seasonedcc/remix-forms,301,Human,TypeScript,fix,
metacraft-labs/codetracer,185,AI,Rust,feat,OpenAI_Codex
metacraft-labs/codetracer,225,Human,Other,feat,
promptfoo/promptfoo,4723,AI,TypeScript,feat,OpenAI_Codex
promptfoo/promptfoo,4308,Human,TypeScript,feat,
bionic-gpt/bionic-gpt,912,AI,Rust,feat,OpenAI_Codex
bionic-gpt/bionic-gpt,891,Human,Rust,feat,
oven-sh/bun,19740,AI,Zig,fix,OpenAI_Codex
oven-sh/bun,19353,Human,C,fix,
pardeike/Harmony,671,AI,C#,fix,OpenAI_Codex
pardeike/Harmony,665,Human,C#,fix,
oven-sh/bun,19975,AI,TypeScript,fix,OpenAI_Codex
oven-sh/bun,19623,Human,JavaScript,fix,
bionic-gpt/bionic-gpt,889,AI,Other,fix,OpenAI_Codex
bionic-gpt/bionic-gpt,775,Human,Other,fix,
bionic-gpt/bionic-gpt,854,AI,Rust,feat,OpenAI_Codex
bionic-gpt/bionic-gpt,886,Human,Rust,feat,
novuhq/novu,8538,AI,TypeScript,fix,Cursor
novuhq/novu,8569,Human,TypeScript,fix,
mediar-ai/terminator,214,AI,Rust,fix,Cursor
mediar-ai/terminator,150,Human,Other,fix,
getsentry/sentry,93223,AI,TypeScript,feat,Cursor
getsentry/sentry,92762,Human,TypeScript,feat,
elizaOS/eliza,5529,AI,TypeScript,fix,Cursor
elizaOS/eliza,5297,Human,TypeScript,fix,
risingwavelabs/risingwave,22088,AI,Other,fix,Cursor
risingwavelabs/risingwave,21968,Human,Rust,fix,
getsentry/sentry,94261,AI,Python,fix,Cursor
getsentry/sentry,94465,Human,Other,fix,
tokens-studio/figma-plugin,3395,AI,Other,fix,Cursor
tokens-studio/figma-plugin,3344,Human,TypeScript,fix,
novuhq/novu,8701,AI,TypeScript,feat,Cursor
novuhq/novu,8582,Human,Other,feat,
getsentry/sentry,93946,AI,TypeScript,fix,Cursor
getsentry/sentry,92785,Human,TypeScript,fix,
OpenPipe/ART,161,AI,Python,feat,Cursor
OpenPipe/ART,163,Human,Other,feat,
langfuse/langfuse,7486,AI,TypeScript,feat,Cursor
langfuse/langfuse,7541,Human,TypeScript,feat,
Codehagen/Badget,293,AI,Other,feat,Cursor
Codehagen/Badget,290,Human,TypeScript,feat,
mediar-ai/terminator,189,AI,Rust,fix,Cursor
mediar-ai/terminator,135,Human,JavaScript,fix,
keephq/keep,5101,AI,Python,fix,Cursor
keephq/keep,5037,Human,TypeScript,fix,
oven-sh/bun,20228,AI,Zig,fix,Cursor
oven-sh/bun,19896,Human,TypeScript,fix,
Codehagen/Badget,295,AI,JavaScript,feat,Cursor
Codehagen/Badget,291,Human,TypeScript,feat,
JhumanJ/OpnForm,788,AI,Vue,feat,Cursor
JhumanJ/OpnForm,794,Human,PHP,feat,
novuhq/novu,8548,AI,TypeScript,feat,Cursor
novuhq/novu,8478,Human,TypeScript,feat,
oven-sh/bun,20265,AI,TypeScript,feat,Cursor
oven-sh/bun,19642,Human,Zig,feat,
elie222/inbox-zero,494,AI,TypeScript,feat,Cursor
elie222/inbox-zero,445,Human,TypeScript,feat,
tokens-studio/figma-plugin,3394,AI,TypeScript,fix,Cursor
tokens-studio/figma-plugin,3438,Human,Other,fix,
formbricks/formbricks,6085,AI,TypeScript,fix,Cursor
formbricks/formbricks,5931,Human,Other,fix,
mediar-ai/terminator,162,AI,Rust,feat,Cursor
mediar-ai/terminator,98,Human,Other,feat,
tldraw/tldraw,6284,AI,TypeScript,feat,Cursor
tldraw/tldraw,6242,Human,TypeScript,feat,
oven-sh/bun,20291,AI,Zig,fix,Cursor
oven-sh/bun,20102,Human,Zig,fix,
novuhq/novu,8443,AI,Other,fix,Cursor
novuhq/novu,8273,Human,TypeScript,fix,
567-labs/instructor,1627,AI,Other,fix,Cursor
567-labs/instructor,1544,Human,Python,fix,
sam-goodwin/alchemy,366,AI,TypeScript,feat,Cursor
sam-goodwin/alchemy,330,Human,TypeScript,feat,
rsyslog/rsyslog,5793,AI,Other,fix,Cursor
rsyslog/rsyslog,5731,Human,C,fix,
mendableai/firecrawl,1742,AI,Other,fix,Cursor
mendableai/firecrawl,1719,Human,TypeScript,fix,
oven-sh/bun,20295,AI,TypeScript,fix,Cursor
oven-sh/bun,20652,Human,C,fix,
bruin-data/bruin,825,AI,Other,feat,Cursor
bruin-data/bruin,772,Human,Go,feat,
reown-com/appkit,4198,AI,Other,feat,Devin
reown-com/appkit,4230,Human,Other,feat,
sam-goodwin/alchemy,239,AI,TypeScript,feat,Devin
sam-goodwin/alchemy,171,Human,TypeScript,feat,
liam-hq/liam,1010,AI,Other,fix,Devin
liam-hq/liam,1150,Human,Other,fix,
airbytehq/airbyte,53238,AI,Other,feat,Devin
airbytehq/airbyte,53686,Human,Other,feat,
onyx-dot-app/onyx,3817,AI,Python,feat,Devin
onyx-dot-app/onyx,4126,Human,TypeScript,feat,
different-ai/note-companion,332,AI,Other,fix,Devin
different-ai/note-companion,357,Human,TypeScript,fix,
GlareDB/glaredb,3577,AI,Rust,fix,Devin
GlareDB/glaredb,3642,Human,Rust,fix,
marimo-team/marimo,3349,AI,Python,fix,Devin
marimo-team/marimo,3527,Human,Python,fix,
GlareDB/glaredb,3884,AI,Rust,feat,Devin
GlareDB/glaredb,3897,Human,Rust,feat,
different-ai/note-companion,323,AI,TypeScript,feat,Devin
